paper_number,paper_identifier,source_json_file,experimental_record_count,records_with_experiment_level_source_evidence,records_with_paper_level_provenance_only
347,https://doi.org/10.3390/batteries8110250,batteries-08-00250-v2_extracted.json,4,4,0
348,https://doi.org/10.3390/batteries9040204,batteries-09-00204-v2_extracted.json,4,4,0
349,https://doi.org/10.3390/batteries9050237,batteries-09-00237-v3_extracted.json,5,5,0
350,https://doi.org/10.3390/batteries9090450,batteries-09-00450_extracted.json,2,2,0
351,https://doi.org/10.3390/batteries9100513,batteries-09-00513-v2_extracted.json,6,6,0
352,https://doi.org/10.3390/batteries9110540,batteries-09-00540-v2_extracted.json,1,1,0
353,https://doi.org/10.3390/batteries10010031,batteries-10-00031_extracted.json,1,1,0
354,https://doi.org/10.3390/batteries10020055,batteries-10-00055-v3_extracted.json,1,1,0
355,https://doi.org/10.3390/batteries10040116,batteries-10-00116-v2_extracted.json,1,1,0
356,https://doi.org/10.3390/batteries10040118,batteries-10-00118_extracted.json,3,3,0
357,https://doi.org/10.3390/batteries10040142,batteries-10-00142_extracted.json,3,3,0
358,https://doi.org/10.3390/batteries10060182,batteries-10-00182_extracted.json,1,1,0
359,https://doi.org/10.3390/batteries10070243,batteries-10-00243-v2_extracted.json,9,9,0
360,https://doi.org/10.3390/batteries10080270,batteries-10-00270-v3_extracted.json,4,4,0
361,https://doi.org/10.3390/batteries10090298,batteries-10-00298-v2_extracted.json,8,8,0
362,https://doi.org/10.3390/batteries10100370,batteries-10-00370-v2_extracted.json,7,7,0
363,https://doi.org/10.3390/batteries11010024,batteries-11-00024-v2_extracted.json,4,4,0
364,https://doi.org/10.3390/batteries11030096,batteries-11-00096-v2_extracted.json,5,5,0
365,https://doi.org/10.3390/batteries11050184,batteries-11-00184_extracted.json,2,2,0
366,https://doi.org/10.3390/batteries11050202,batteries-11-00202-v2_extracted.json,1,1,0
367,https://doi.org/10.3390/batteries11060216,batteries-11-00216_extracted.json,14,14,0
368,https://doi.org/10.3390/batteries11070242,batteries-11-00242_extracted.json,1,1,0
369,https://doi.org/10.3390/batteries11090320,batteries-11-00320-v3_extracted.json,37,37,0
370,https://doi.org/10.3390/batteries11090339,batteries-11-00339_extracted.json,6,6,0
371,https://doi.org/10.3390/batteries11100371,batteries-11-00371-v2_extracted.json,2,2,0
372,https://doi.org/10.3390/batteries11100373,batteries-11-00373_extracted.json,11,11,0
373,https://doi.org/10.3390/batteries11100386,batteries-11-00386_extracted.json,3,3,0
374,https://doi.org/10.1039/c8ra06458j,c8ra06458j_extracted.json,11,11,0
375,https://doi.org/10.1002/celc.202500336,ChemElectroChem - 2025 - Li - Decoupling of O3‐Layered Cathode Stability from System‐Driven Thermal Runaway in Sodium‐Ion_extracted.json,2,2,0
376,https://doi.org/10.1002/asia.202300820,Chemistry   An Asian Journal - 2023 - Hu - High‐Safety Lithium‐Ion Batteries with Silicon‐Based Anodes Enabled by_extracted.json,4,4,0
377,https://doi.org/10.1021/acs.chas.4c00121,comparison-on-thermal-runaway-and-critical-characteristics-of-cylindrical-lithium-ion-batteries-a-review_extracted.json,23,23,0
378,Computational Modelling of Thermal Runaway Propagation in Lithium-Ion Battery Systems (2019 IEEE ITEC-India),Computational_Modelling_of_Thermal_Runaway_Propagation_in_Lithium-Ion_Battery_Systems_extracted.json,8,0,8
379,https://doi.org/10.3390/cryst13091346,crystals-13-01346_extracted.json,7,7,0
380,https://doi.org/10.1039/d4ee02302a,d4ee02302a_extracted.json,2,2,0
381,https://doi.org/10.1039/d5ta03776j,d5ta03776j_extracted.json,6,6,0
382,https://doi.org/10.1021/acsami.1c04482,discharge-state-of-layered-p2-type-cathode-reveals-unsafe-than-charge-condition-in-thermal-runaway-event-for-sodium-ion_extracted.json,1,1,0
383,https://doi.org/10.3390/electronics12010200,electronics-12-00200_extracted.json,2,2,0
384,https://doi.org/10.3390/electronics12071603,electronics-12-01603-v2_extracted.json,5,5,0
385,https://doi.org/10.3390/en11092191,energies-11-02191_extracted.json,4,4,0
386,https://doi.org/10.3390/en12163099,energies-12-03099-v2_extracted.json,1,1,0
387,https://doi.org/10.3390/en13041010,energies-13-01010-v2_extracted.json,2,2,0
388,https://doi.org/10.3390/en16083398,energies-16-03398_extracted.json,1,1,0
389,https://doi.org/10.3390/en16083485,energies-16-03485_extracted.json,1,1,0
390,https://doi.org/10.3390/en16165967,energies-16-05967-v2_extracted.json,1,1,0
391,https://doi.org/10.3390/en16237874,energies-16-07874_extracted.json,3,3,0
392,https://doi.org/10.3390/en17112566,energies-17-02566_extracted.json,3,3,0
393,https://doi.org/10.3390/en18010155,energies-18-00155-v2_extracted.json,15,15,0
394,https://doi.org/10.3390/en18051173,energies-18-01173-v2_extracted.json,3,3,0
395,https://doi.org/10.1002/ente.202300707,Energy Tech - 2023 - Karmakar - Thermal Runaway Propagation Analytics and Crosstalk in Lithium‐Ion Battery Modules_extracted.json,16,16,0
396,https://doi.org/10.1002/ente.202300565,Energy Tech - 2023 - Weber - Chemical Thermal Runaway Modeling of Lithium‐Ion Batteries for Prediction of Heat and Gas_extracted.json,6,6,0
397,https://doi.org/10.1002/ente.202401272,Energy Tech - 2024 - Zhang - Thermal Safety Characteristic Analysis of Large‐Format Pouch Li‐Ion Capacitors_extracted.json,2,2,0
398,https://doi.org/10.1002/ente.202501540,Energy Tech - 2025 - Zhang - Thermal Runaway Behavior and Gas Generation Characteristics Analysis for LiFePO4 Batteries_extracted.json,6,6,0
399,https://doi.org/10.1149/2.0311816jes,Feng_2018_J._Electrochem._Soc._165_A3748_extracted.json,9,9,0
400,https://doi.org/10.3389/fenrg.2023.1230429,fenrg-11-1230429_extracted.json,3,3,0
401,https://doi.org/10.1002/fam.2976,Fire and Materials - 2021 - Zhu - Comparative analysis of thermal runaway characteristics of lithium‐ion battery under oven_extracted.json,1,1,0
402,https://doi.org/10.3390/fire7040119,fire-07-00119-v2_extracted.json,9,9,0
403,https://doi.org/10.3390/fire8120479,fire-08-00479-v2_extracted.json,1,1,0
404,10.3389/fphy.2025.1615872,fphy-13-1615872_extracted.json,14,0,14
405,https://doi.org/10.1149/2.1081908jes,Gao_2019_J._Electrochem._Soc._166_A1653_extracted.json,6,6,0
406,https://doi.org/10.1073/pnas.2501549122,guo-et-al-2025-a-fire-safe-li-metal-battery-via-smart-gas-management_extracted.json,2,2,0
407,https://doi.org/10.1149/1945-7111/aceb35,Guo_2023_J._Electrochem._Soc._170_080507_extracted.json,1,1,0
408,https://doi.org/10.1049/esi2.12148,IET Energy Syst Integration - 2024 - Liu - Changes in performance and thermal stability of Ni0 8Co0 1Al0 1 graphite_extracted.json,6,6,0
409,https://doi.org/10.1155/er/6945609,International Journal of Energy Research - 2025 - Han - Research on the Early Warning Characteristics of Thermal Runaway in_extracted.json,8,8,0
410,https://doi.org/10.1002/er.7493,Intl J of Energy Research - 2021 - Liu - Experimental study on thermal runaway characteristic parameters of parallel_extracted.json,1,1,0
411,https://doi.org/10.1002/er.7143,Intl J of Energy Research - 2021 - Sun - Correlation between thermal stabilities of nickel‐rich cathode materials and_extracted.json,6,6,0
412,https://doi.org/10.1002/er.8632,Intl J of Energy Research - 2022 - Liao - Thermal runaway warning of lithium‐ion batteries based on photoacoustic_extracted.json,3,3,0
413,10.1021/acsaem.5c01505,investigating-the-thermal-safety-of-sodium-ion-batteries-during-the-aging-process_extracted.json,1,0,1
414,https://doi.org/10.1115/1.4068208,jeecs-24-1230_extracted.json,3,3,0
415,https://doi.org/10.1149/1945-7111/ad1ecc,Karmakar_2024_J._Electrochem._Soc._171_010529_extracted.json,4,4,0
416,https://doi.org/10.1149/1945-7111/ae1ab5,Kim_2025_J._Electrochem._Soc._172_120502_extracted.json,8,8,0
417,https://doi.org/10.1149/1945-7111/ad9b9d,Liu_2024_J._Electrochem._Soc._171_120527_extracted.json,2,2,0
418,https://doi.org/10.1149/1945-7111/ad3aae,Mallarapu_2024_J._Electrochem._Soc._171_040514_extracted.json,2,2,0
419,https://doi.org/10.1149/1945-7111/ac0b59,Mao_2021_J._Electrochem._Soc._168_060553_extracted.json,3,3,0
420,https://doi.org/10.3390/ma10030230,materials-10-00230_extracted.json,11,11,0
421,https://doi.org/10.3390/mi16050544,micromachines-16-00544_extracted.json,5,5,0
422,https://doi.org/10.1149/1945-7111/ac3715,Mishra_2021_J._Electrochem._Soc._168_120507_extracted.json,5,5,0
423,https://doi.org/10.1038/ncomms7924,ncomms7924_extracted.json,2,2,0
424,https://doi.org/10.1016/j.heliyon.2024.e31203,PIIS2405844024072347_extracted.json,5,5,0
425,https://doi.org/10.1016/j.joule.2018.06.015,PIIS2542435118302800_extracted.json,2,2,0
426,https://doi.org/10.1016/j.joule.2020.03.012,PIIS2542435120301276_extracted.json,5,5,0
427,https://doi.org/10.1016/j.joule.2022.02.015,PIIS2542435122000964_extracted.json,9,9,0
428,https://doi.org/10.1016/j.isci.2021.102854,PIIS2589004221008221_extracted.json,8,8,0
429,https://doi.org/10.1016/j.xcrp.2023.101705,PIIS2666386423005362_extracted.json,4,4,0
430,https://doi.org/10.1016/j.xcrp.2024.102056,PIIS2666386424003254_extracted.json,26,26,0
431,https://doi.org/10.1016/j.xcrp.2025.102563,PIIS2666386425001626_extracted.json,4,4,0
432,https://doi.org/10.3390/pr11051321,processes-11-01321_extracted.json,1,1,0
433,https://doi.org/10.3390/pr13030889,processes-13-00889-v2_extracted.json,9,9,0
434,https://doi.org/10.1149/1945-7111/ababd2,Puthusseri_2020_J._Electrochem._Soc._167_120513_extracted.json,6,6,0
435,,Research_On_Key_Parameters_of_Thermal_Runaway_in_Small_Lithium-ion_Batteries_extracted.json,6,6,0
436,https://doi.org/10.1021/acsaem.1c02537,revealing-the-impact-of-slight-electrical-abuse-on-the-thermal-safety-characteristics-for-lithium-ion-batteries_extracted.json,3,3,0
437,https://doi.org/10.1007/s00202-025-03102-x,s00202-025-03102-x_extracted.json,1,0,1
438,https://doi.org/10.1007/s00231-014-1353-x,s00231-014-1353-x_extracted.json,8,8,0
439,https://doi.org/10.1007/s00339-024-07831-x,s00339-024-07831-x_extracted.json,2,2,0
440,https://doi.org/10.1007/s10008-020-04810-z,s10008-020-04810-z_extracted.json,7,7,0
